N (x10^5);a (mm);Torque (Nm);n (rpm);Temp (ºC)
12,149991545229003; 0,9338341404449646;1;1000;65
12,630575000017895;0,941945953;1;1000;65
13,111101913359494; 0,9477961084949902;1;1000;65
13,591704215297472; 0,9566618074295636;1;1000;65
14,07240075298093; 0,9692969361832589;1;1000;65
14,553097290664393; 0,9819320649369541;1;1000;65
15,034001146987901; 1,0028599392927164;1;1000;65
15,514848461864137; 1,0215261557570057;1;1000;65
15,995978483976796; 1,0515006616786593;1;1000;65
16,477108506089447; 1,081475167600313;1;1000;65
16,958464693991257; 1,1204963050878578;1;1000;65
17,439990506234924; 1,1663024162498212;1;1000;65
17,841481899844094; 1,2132695117960743;1;1000;65
18,163033110564246; 1,265167021545738;1;1000;65
18,484725674902617; 1,3227186760240839;1;1000;65
18,806587863582852; 1,3870553041768483;1;1000;65
19,028032441881688; 1,4378596792789673;1;1000;65
19,209134697541376; 1,4762400136972613;1;1000;65
19,29079939457264; 1,5402901651837722;1;1000;65
19,332734301310364; 1,616417569810749;1;1000;65
19,33409883490489; 1,6709989135916277;1;1000;65
0,18517890465552966;0,036274868;2;1000;22
0,4595715357964405;0,089103989;2;1000;22
0,7340353268520659; 0,1373788749490199;2;1000;22
1,033647031767961; 0,1774561389164866;2;1000;22
1,3332587366838542; 0,21753340288395684;2;1000;22
1,6329131375485773; 0,2548781261263713;2;1000;22
1,932610234; 0,28949030864372993;2;1000;22
2,2323215631586244; 0,3231916442527396;2;1000;22
2,5320613559210052; 0,35507128604504246;2;1000;22
2,8318296126492726; 0,3851292340206456;2;1000;22
3,131754421189914; 0,4051678660043816;2;1000;22
3,431693461713497; 0,4242956510797633;2;1000;22
3,731732126117681; 0,43704750779668444;2;1000;22
4,031799254487751; 0,4479776706969023;2;1000;22
4,331823686908994;0,461640374;2;1000;22
4,631720031483745; 0,4835007001226135;2;1000;22
4,9318013918367605; 0,4935200161144824;2;1000;22
5,231840056240944; 0,5062718728314035;2;1000;22
5,531892953; 0,5181128826399739;2;1000;22
5,831988545; 0,5272213517234903;2;1000;22
6,132055673334101; 0,5381515146237099;2;1000;22
6,432094337738285;0,550903371;2;1000;22
6,732147234; 0,5627443811492014;2;1000;22
7,0322285944784255; 0,5727636971410686;2;1000;22
7,332338418797324; 0,5809613193162324;2;1000;22
7,632505171047995; 0,5855155538579897;2;1000;22
7,932572299418066; 0,5964457167582093;2;1000;22
8,232682123736964; 0,6046433389333732;2;1000;22
8,532749252107035; 0,6155735018335928;2;1000;22
8,832830612460047;0,625592818;2;1000;22
9,132997364710718; 0,6301470523672172;2;1000;22
9,433221044893159; 0,6310578992755698;2;1000;22
9,733302405246175; 0,6410772152674369;2;1000;22
10,033426461548014; 0,6483639905342482;2;1000;22
10,333479357935143; 0,6602050003428204;2;1000;22
10,633546486305214; 0,6711351632430382;2;1000;22
10,933570918726453; 0,6847978668683119;2;1000;22
11,233652279079468;0,694817183;2;1000;22
11,533705175466594; 0,7066581926687494;2;1000;22
11,833814999785492; 0,7148558148439133;2;1000;22
12,133896360138507; 0,7248751308357804;2;1000;22
12,43397772049152; 0,7348944468276493;2;1000;22
12,73414447274219; 0,7394486813694066;2;1000;22
13,034197369129316;0,751289691;2;1000;22
13,334364121379988; 0,7558439257197342;2;1000;22
13,63444548; 0,7658632417116014;2;1000;22
13,934555306051902; 0,7740608638867652;2;1000;22
14,23457973847314; 0,7877235675120389;2;1000;22
14,534575706928496; 0,8032079649540158;2;1000;22
14,834571675383852; 0,8186923623959927;2;1000;22
15,134567643839208; 0,8341767598379697;2;1000;22
15,434535148328674; 0,8514828510966499;2;1000;22
15,734431492903429; 0,8733431768970874;2;1000;22
16,03445592532467; 0,8870058805223611;2;1000;22
16,33432380593354; 0,9106879001395001;2;1000;22
16,63410629464475; 0,9398350012067525;2;1000;22
